KP_beg,KP_end,symbol,type_id,value,text_shrt,text_long,set_id,desc,colour,range,category_id,date_created,notes,name,column_id_rec,column_id_con,x1,x2,y1,y2
1035948,1035960,DOC,DOC,1.2,1.2m RD,1.2m RD - DWG# PT640001,16,,"[176, 55, 125]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
1035960,1035996,DOC,DOC,0.9,0.9m FG,0.9m FG - Default Depth,16,,"[194, 62, 143]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
1035996,1036008,DOC,DOC,1.2,1.2m RD,1.2m RD - DWG# PT640001,16,,"[176, 55, 125]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
1036008,1036082,DOC,DOC,0.9,0.9m FG,0.9m FG - Default Depth,16,,"[194, 62, 143]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
1036082,1036142,DOC,DOC,1.5,1.5m FG,1.5m FG - Alignment Sheets,16,,"[158, 48, 108]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
1036142,1036166,DOC,DOC,0.9,0.9m FG,0.9m FG - Default Depth,16,,"[194, 62, 143]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
1036166,1036178,DOC,DOC,1.2,1.2m RD,1.2m RD - DWG# PT640001,16,,"[176, 55, 125]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
1036178,1036317.18,DOC,DOC,0.9,0.9m FG,0.9m FG - Default Depth,16,,"[194, 62, 143]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
1036317.18,1036320,DOC,DOC,1.2,1.2m RD,1.2m RD - DWG# PT640001,16,,"[176, 55, 125]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
1036320,1036409,DOC,DOC,1.5,1.5m FG,1.5m FG - Alignment Sheets,16,,"[158, 48, 108]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
1036409,1036409.2,DOC,DOC,1.2,1.2m RD,1.2m RD - DWG# PT640001,16,,"[176, 55, 125]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
1036409.2,1036937.43,DOC,DOC,0.9,0.9m FG,0.9m FG - Default Depth,16,,"[194, 62, 143]",TRUE,4,2022-05-25,Rev 3 alignment sheets,Minimum Depth of Cover,1,1,7,11,76.522,386.522
