geometry,y,x
POINT Z (-121.0601067843378 49.6105281431208 2.229007804999128e-07),1235.8681640625,994376.100926086
POINT Z (-121.0604883284583 49.61021727726608 2.229007804999128e-07),1247.2457275390625,994420.9773512682
POINT Z (-121.0609098124735 49.60994829543586 2.229007804999128e-07),1262.7470703125,994463.6666022541
POINT Z (-121.0613317164139 49.60968000246019 2.229007804999128e-07),1272.38818359375,994506.3257008329
POINT Z (-121.0617639074188 49.60942858461035 2.229007804999128e-07),1274.8709716796875,994548.2433866645
POINT Z (-121.0621960984238 49.6091771667605 2.229007804999128e-07),1274.871826171875,994590.1611869759
POINT Z (-121.0626282894288 49.60892574891063 2.229007804999128e-07),1273.940185546875,994632.0791027397
POINT Z (-121.0630604804337 49.60867433106078 2.229007804999128e-07),1275.6202392578125,994673.9971332786
POINT Z (-121.0634926714387 49.60842291321094 2.229007804999128e-07),1274.1612548828125,994715.9152782882
POINT Z (-121.0639248624437 49.60817149536109 2.229007804999128e-07),1272.3697509765625,994757.8335377667
POINT Z (-121.0643570534486 49.60792007751125 2.229007804999128e-07),1265.2724609375,994799.7519117107
POINT Z (-121.0647892444536 49.60766865966139 2.229007804999128e-07),1263.999755859375,994841.6704001189
POINT Z (-121.0652214354586 49.60741724181155 2.229007804999128e-07),1255.989990234375,994883.5890029917
POINT Z (-121.065658595489 49.60717968236659 2.229007804999128e-07),1257.2374267578125,994925.0901247784
POINT Z (-121.0661520747276 49.60709919484501 2.229007804999128e-07),1261.3096923828125,994961.8582958136
POINT Z (-121.0666455539661 49.60701870732341 2.229007804999128e-07),1250.458984375,994998.6265192954
POINT Z (-121.0671390332046 49.60693821980183 2.229007804999128e-07),1266.869140625,995035.3947890438
POINT Z (-121.0675220249417 49.60665245126197 2.229007804999128e-07),1270.1103515625,995079.9461260139
POINT Z (-121.0678609953808 49.60628489304699 2.229007804999128e-07),1272.88916015625,995127.598518059
POINT Z (-121.0682340027543 49.60595947082139 2.229007804999128e-07),1274.3697509765625,995173.1646372001
POINT Z (-121.0686646194542 49.60570536600496 2.229007804999128e-07),1275.2205810546875,995215.1995864967
POINT Z (-121.0690952361541 49.60545126118854 2.229007804999128e-07),1276.448974609375,995257.2346572904
POINT Z (-121.0695258528541 49.60519715637211 2.229007804999128e-07),1277.225341796875,995299.2698426191
POINT Z (-121.069956469554 49.60494305155569 2.229007804999128e-07),1278.68017578125,995341.3051424813
POINT Z (-121.0703870862539 49.60468894673926 2.229007804999128e-07),1282.9283447265625,995383.3405568734
POINT Z (-121.0708177029539 49.60443484192282 2.229007804999128e-07),1288.48828125,995425.376084879
POINT Z (-121.0712483196538 49.60418073710639 2.229007804999128e-07),1294.7236328125,995467.4117268069
POINT Z (-121.0716703478146 49.60391302742128 2.229007804999128e-07),1299.437255859375,995510.0560428975
POINT Z (-121.0720849519989 49.60363355761898 2.229007804999128e-07),1303.0081787109375,995553.226508899
POINT Z (-121.0724995561832 49.60335408781668 2.229007804999128e-07),1305.462158203125,995596.3970883848
POINT Z (-121.0729141603674 49.60307461801439 2.229007804999128e-07),1304.3609619140625,995639.567781357
POINT Z (-121.0733287645517 49.60279514821211 2.229007804999128e-07),1298.82080078125,995682.73858781
POINT Z (-121.0736949969859 49.60246764819939 2.229007804999128e-07),1296.8994140625,995728.4600783841
POINT Z (-121.0739715220312 49.60205107419724 2.229007804999128e-07),1292.28662109375,995778.9117777483
POINT Z (-121.0743785309305 49.60178091411687 2.229007804999128e-07),1289.53955078125,995821.9977382303
POINT Z (-121.0748240687995 49.6015539867997 2.229007804999128e-07),1288.082275390625,995862.9088462046
POINT Z (-121.0752584248482 49.60130783394827 2.229007804999128e-07),1289.138671875,995904.6418574628
POINT Z (-121.0756759716525 49.60103278001496 2.229007804999128e-07),1290.8089599609375,995947.610371237
POINT Z (-121.0761028551786 49.60077266247583 2.229007804999128e-07),1295.978759765625,995989.9142199745
POINT Z (-121.0765330284171 49.60051780764484 2.229007804999128e-07),1303.6612548828125,996031.9839369302
POINT Z (-121.0769632016556 49.60026295281381 2.229007804999128e-07),1309.940185546875,996074.0537630131
POINT Z (-121.0774093622442 49.60003843627582 2.229007804999128e-07),1315.4796142578125,996114.8986836078
POINT Z (-121.0778627694792 49.59982767128992 2.229007804999128e-07),1322.8211669921875,996155.188442853
POINT Z (-121.0783183878914 49.5996237255742 2.229007804999128e-07),1329.2496337890625,996195.2854497893
POINT Z (-121.0788092018283 49.59952832285266 2.229007804999128e-07),1336.9503173828125,996232.3127444139
POINT Z (-121.0793000157653 49.59943292013111 2.229007804999128e-07),1342.949951171875,996269.3401024521
POINT Z (-121.079764770399 49.5992754518445 2.229007804999128e-07),1347.619384765625,996308.4572227349
POINT Z (-121.0801765758254 49.59899187418173 2.229007804999128e-07),1347.7808837890625,996351.8204342184
POINT Z (-121.0805883812517 49.59870829651896 2.229007804999128e-07),1348.8084716796875,996395.1837587659
POINT Z (-121.0810001866781 49.59842471885621 2.229007804999128e-07),1352.2283935546875,996438.5472160451
POINT Z (-121.0813336274191 49.5980534306081 2.229007804999128e-07),1349.2095947265625,996486.4326530168
POINT Z (-121.0816818698642 49.59769576337904 2.229007804999128e-07),1346.0889892578125,996533.5638935773
POINT Z (-121.0820504211663 49.59735787295635 2.229007804999128e-07),1342.6802978515625,996579.623445817
POINT Z (-121.0824189724683 49.59701998253367 2.229007804999128e-07),1338.9002685546875,996625.6830978247
POINT Z (-121.0827875237704 49.59668209211098 2.229007804999128e-07),1333.9715576171875,996671.7428497773
POINT Z (-121.0831560750725 49.5963442016883 2.229007804999128e-07),1327.5419921875,996717.802702357
POINT Z (-121.0835246263745 49.59600631126562 2.229007804999128e-07),1319.5108642578125,996763.8626555591
POINT Z (-121.0838931776766 49.59566842084293 2.229007804999128e-07),1309.089599609375,996809.9227087916
POINT Z (-121.0843297800866 49.59542522739935 2.229007804999128e-07),1301.7119140625,996851.5080471447
POINT Z (-121.0847675599362 49.59518367242992 2.229007804999128e-07),1291.82275390625,996893.0160749506
POINT Z (-121.0852053397858 49.59494211746047 2.229007804999128e-07),1287.6810302734375,996934.5242165698
POINT Z (-121.0856431196354 49.59470056249104 2.229007804999128e-07),1283.9010009765625,996976.0324721962
POINT Z (-121.0860808994851 49.5944590075216 2.229007804999128e-07),1281.9390869140625,997017.540841879
POINT Z (-121.0865186793347 49.59421745255216 2.229007804999128e-07),1283.489501953125,997059.049325614
POINT Z (-121.0869564591843 49.59397589758272 2.229007804999128e-07),1278.669677734375,997100.557923402
POINT Z (-121.087394239034 49.59373434261327 2.229007804999128e-07),1274.960205078125,997142.0666352394
POINT Z (-121.0878320188836 49.59349278764383 2.229007804999128e-07),1265.4505615234375,997183.5754611251
POINT Z (-121.0882698626703 49.59325134906496 2.229007804999128e-07),1252.5328369140625,997225.079584574
POINT Z (-121.0887085443079 49.59301143570385 2.229007804999128e-07),1239.3455810546875,997266.5206115403
POINT Z (-121.0891666160665 49.59284019755978 2.229007804999128e-07),1231.249267578125,997306.2890187633
POINT Z (-121.0896659935176 49.59281525439606 2.229007804999128e-07),1233.600341796875,997342.4941281917
POINT Z (-121.0901537475684 49.59273950024587 2.229007804999128e-07),1230.3509521484375,997379.7866238601
POINT Z (-121.090649983551 49.59279288145881 2.229007804999128e-07),1228.529296875,997416.2955700689
POINT Z (-121.0911419623177 49.59273104227567 2.229007804999128e-07),1226.712646484375,997453.2119692148
POINT Z (-121.0916307159378 49.59262559134459 2.229007804999128e-07),1224.01318359375,997490.4380156443
POINT Z (-121.0921194695579 49.59252014041351 2.229007804999128e-07),1222.73876953125,997527.6641260943
POINT Z (-121.0926047380201 49.59240344680024 2.229007804999128e-07),1223.3447265625,997565.1987731684
POINT Z (-121.0930356312734 49.59216421901515 2.229007804999128e-07),1223.6322021484375,997606.9265355653
POINT Z (-121.0934017167017 49.59182365850777 2.229007804999128e-07),1223.846435546875,997653.1278727687
POINT Z (-121.09376780213 49.59148309800037 2.229007804999128e-07),1212.7740478515625,997699.3293096898
POINT Z (-121.0941338875583 49.59114253749301 2.229007804999128e-07),1213.7386474609375,997745.5308517221
POINT Z (-121.0946112449259 49.59103224562853 2.229007804999128e-07),1215.0997314453125,997783.4866397921
POINT Z (-121.0951059616387 49.59096374097631 2.229007804999128e-07),1216.9207763671875,997820.1466104918
POINT Z (-121.0956057328884 49.59097886373959 2.229007804999128e-07),1219.6201171875,997856.3142292015
POINT Z (-121.0961055041381 49.59099398650287 2.229007804999128e-07),1220.5794677734375,997892.4818323303
POINT Z (-121.0966052753879 49.59100910926616 2.229007804999128e-07),1221.8211669921875,997928.649417228
POINT Z (-121.0970994671634 49.59107617904402 2.229007804999128e-07),1222.808349609375,997965.3570409594
POINT Z (-121.0975910504631 49.59116753471993 2.229007804999128e-07),1223.166259765625,998002.317088112
POINT Z (-121.0980814182407 49.59126426891529 2.229007804999128e-07),1223.6341552734375,998039.3903025148
POINT Z (-121.0985645127796 49.59139318620065 2.229007804999128e-07),1224.3125,998077.1409469772
POINT Z (-121.0990476073185 49.59152210348605 2.229007804999128e-07),1224.348388671875,998114.8915036203
POINT Z (-121.0995307018574 49.59165102077143 2.229007804999128e-07),1226.989990234375,998152.6419733427
POINT Z (-121.1000137963963 49.5917799380568 2.229007804999128e-07),1230.0048828125,998190.3923535608
POINT Z (-121.1004968909352 49.59190885534218 2.229007804999128e-07),1232.3963623046875,998228.1426442761
POINT Z (-121.1009799854742 49.59203777262755 2.229007804999128e-07),1236.0877685546875,998265.8928454877
POINT Z (-121.1014630800131 49.59216668991292 2.229007804999128e-07),1239.591796875,998303.6429571932
POINT Z (-121.101946174552 49.5922956071983 2.229007804999128e-07),1243.2403564453125,998341.3929793941
POINT Z (-121.1024292690909 49.59242452448368 2.229007804999128e-07),1247.22021484375,998379.1429120854
POINT Z (-121.1029123636298 49.59255344176906 2.229007804999128e-07),1249.67138671875,998416.8927552687
POINT Z (-121.1033954581688 49.59268235905445 2.229007804999128e-07),1252.8375244140625,998454.6425089445
POINT Z (-121.1038785527077 49.59281127633981 2.229007804999128e-07),1254.930419921875,998492.3921731075
POINT Z (-121.1043616472466 49.5929401936252 2.229007804999128e-07),1256.3990478515625,998530.1417477616
POINT Z (-121.1048447417855 49.59306911091058 2.229007804999128e-07),1257.8349609375,998567.8912329037
POINT Z (-121.1053278363244 49.59319802819594 2.229007804999128e-07),1258.464111328125,998605.6406285344
POINT Z (-121.1058109308633 49.59332694548133 2.229007804999128e-07),1258.697998046875,998643.3899346495
POINT Z (-121.1062940254022 49.5934558627667 2.229007804999128e-07),1258.9781494140625,998681.1391512488
POINT Z (-121.1067771199412 49.59358478005207 2.229007804999128e-07),1258.9615478515625,998718.8882786391
POINT Z (-121.1072602144801 49.59371369733746 2.229007804999128e-07),1258.6055908203125,998756.6373168196
POINT Z (-121.107743309019 49.59384261462284 2.229007804999128e-07),1257.8072509765625,998794.3862654835
POINT Z (-121.1082415154879 49.59387544341948 2.229007804999128e-07),1257.41845703125,998830.7016832114
POINT Z (-121.1087408601142 49.59390103529607 2.229007804999128e-07),1257.503662109375,998866.9091171101
