geometry,elevation,chainage
POINT (643514.0748647244 5499887.899384823),1158.426025,989964.3297
POINT (643503.2826180303 5499877.189839814),1160.838745,989979.5338
POINT (643492.4903282748 5499866.480317228),1160.062012,989994.7379
POINT (643481.6291765005 5499855.961683622),1159.129761,990009.8736
POINT (643469.8531656358 5499847.980292382),1160.21875,990024.0996
POINT (643458.0771205146 5499839.998927426),1160.132568,990038.3256
POINT (643446.3010411349 5499832.01758876),1160.168823,990052.5517
POINT (643434.5249275005 5499824.036276381),1161.370361,990066.7777
POINT (643422.7487796098 5499816.054990292),1162.691528,990081.0037
POINT (643410.9725974627 5499808.073730487),1161.220581,990095.2298
POINT (643399.1963810575 5499800.092496973),1161.761353,990109.4558
POINT (643387.420130398 5499792.111289745),1161.261841,990123.6818
POINT (643375.6438454824 5499784.130108806),1160.100586,990137.9079
POINT (643363.8675263107 5499776.148954155),1161.475586,990152.1339
POINT (643352.0911728813 5499768.167825792),1161.909546,990166.36
POINT (643340.3147851978 5499760.186723716),1163.0802,990180.586
POINT (643328.5383632586 5499752.20564793),1162.681274,990194.8121
POINT (643316.7619070618 5499744.224598429),1162.219116,990209.0382
POINT (643304.9854166112 5499736.243575219),1163.399414,990223.2642
POINT (643293.208891905 5499728.262578296),1165.731201,990237.4903
POINT (643281.4323329414 5499720.281607661),1167.610107,990251.7164
POINT (643269.6557397244 5499712.300663316),1167.016846,990265.9424
POINT (643257.8794489712 5499704.318617205),1165.401611,990280.1689
POINT (643246.1034252003 5499696.335588184),1164.451782,990294.3957
POINT (643234.3273671663 5499688.352585451),1163.849609,990308.6225
POINT (643221.7760414802 5499684.123570947),1167.388428,990322.0098
POINT (643209.4611469024 5499678.74931471),1170.978149,990335.6531
POINT (643197.6845804567 5499670.767794642),1173.209717,990349.8796
POINT (643185.9079797514 5499662.786300859),1173.290405,990364.106
POINT (643174.1313447885 5499654.804833367),1168.400635,990378.3325
POINT (643162.3546755699 5499646.82339216),1169.619751,990392.559
POINT (643150.5779720921 5499638.841977242),1171.309448,990406.7856
POINT (643138.8012343588 5499630.860588611),1170.990723,990421.0121
POINT (643127.0244623664 5499622.879226267),1172.290039,990435.2386
POINT (643115.2476561168 5499614.897890211),1171.031006,990449.4652
POINT (643103.47081561 5499606.916580445),1172.651001,990463.6918
POINT (643091.5464279249 5499599.454871705),1171.180298,990477.7616
POINT (643079.5707847658 5499592.173611192),1170.441528,990491.7771
POINT (643067.5951100307 5499584.892377773),1170.029175,990505.7925
POINT (643055.6194037199 5499577.61117145),1170.472534,990519.808
POINT (643043.6436658333 5499570.329992221),1169.85083,990533.8235
POINT (643031.6678963711 5499563.048840087),1170.898804,990547.839
POINT (643019.6920953332 5499555.767715047),1171.841797,990561.8545
POINT (643007.7162627199 5499548.486617102),1172.26001,990575.87
POINT (642995.7403985311 5499541.205546252),1169.652832,990589.8855
POINT (642983.7645027669 5499533.924502498),1170.298706,990603.9011
POINT (642971.7885754275 5499526.643485839),1172.699097,990617.9166
POINT (642959.8126165126 5499519.362496274),1175.465576,990631.9322
POINT (642947.8366260227 5499512.081533805),1180.181396,990645.9478
POINT (642935.9390957361 5499504.571983666),1181.199707,990660.0425
POINT (642925.1184824756 5499493.925725494),1179.321411,990675.2223
POINT (642914.2978263234 5499483.279489844),1178.339355,990690.4022
POINT (642903.4771272765 5499472.633276721),1177.302856,990705.5821
POINT (642892.6563853363 5499461.987086125),1175.451538,990720.7621
POINT (642881.8356005033 5499451.340918052),1173.96875,990735.942
POINT (642871.0147727774 5499440.694772506),1173.917603,990751.1219
POINT (642860.1939021607 5499430.048649483),1174.590576,990766.3019
POINT (642849.3729886494 5499419.402548986),1173.911255,990781.4819
POINT (642838.5520322458 5499408.756471016),1173.901001,990796.6619
POINT (642827.7310329496 5499398.110415571),1174.900269,990811.8419
POINT (642816.9099907613 5499387.464382652),1174.791504,990827.0219
POINT (642806.0889056807 5499376.818372259),1173.398193,990842.2019
POINT (642795.26777771 5499366.17238439),1172.70813,990857.382
POINT (642784.4466068454 5499355.526419049),1170.877563,990872.562
POINT (642773.6253930889 5499344.88047623),1173.967163,990887.7421
POINT (642762.8041364409 5499334.234555939),1175.5,990902.9222
POINT (642751.8786110409 5499323.848536126),1174.588135,990918.0022
POINT (642740.695752112 5499314.104075329),1174.363159,990932.8349
POINT (642729.5128528927 5499304.359638454),1169.671387,990947.6677
POINT (642717.9326279534 5499295.959381254),1167.033203,990962.0853
POINT (642705.6428218473 5499289.95980839),1164.790405,990975.7613
POINT (642693.3529894056 5499283.960263901),1164.528687,990989.4373
POINT (642681.0631306299 5499277.96074779),1165.174072,991003.1134
POINT (642668.7732455223 5499271.961260056),1167.362427,991016.7895
POINT (642656.4833340773 5499265.961800699),1170.248657,991030.4656
POINT (642644.1933963021 5499259.962369717),1170.901245,991044.1417
POINT (642631.9034321915 5499253.962967113),1171.887817,991057.8178
POINT (642619.6134417471 5499247.963592886),1172.349121,991071.4939
POINT (642607.3234249712 5499241.964247034),1170.091309,991085.1701
POINT (642595.0333818598 5499235.96492956),1169.491577,991098.8462
POINT (642582.743312415 5499229.965640464),1171.289429,991112.5224
POINT (642570.4532166386 5499223.966379743),1173.009644,991126.1985
POINT (642558.1630945271 5499217.9671474),1173.799927,991139.8747
POINT (642545.8729460823 5499211.967943435),1174.859985,991153.5509
POINT (642533.5827713042 5499205.968767843),1175.571899,991167.2271
POINT (642521.2925701948 5499199.969620631),1175.261963,991180.9034
POINT (642509.0023427504 5499193.970501795),1173.980713,991194.5796
POINT (642496.7120889729 5499187.971411337),1173.005981,991208.2558
POINT (642484.4218088625 5499181.972349255),1169.694458,991221.9321
POINT (642472.131502419 5499175.973315551),1171.267212,991235.6083
POINT (642459.8411696444 5499169.974310226),1172.861572,991249.2846
POINT (642447.5508105352 5499163.975333273),1173.954346,991262.9609
POINT (642435.2604250932 5499157.9763847),1176.387817,991276.6372
POINT (642422.9700133202 5499151.977464505),1179.643799,991290.3135
POINT (642410.6795752128 5499145.978572686),1179.78064,991303.9898
POINT (642398.3891107726 5499139.979709244),1179.350708,991317.6661
POINT (642386.0986200017 5499133.98087418),1180.261719,991331.3424
POINT (642373.8081028964 5499127.982067494),1181.40918,991345.0188
POINT (642361.5175594587 5499121.983289183),1180.679565,991358.6951
POINT (642349.2269896886 5499115.984539251),1182.074097,991372.3715
POINT (642336.936393586 5499109.985817696),1184.205688,991386.0479
POINT (642324.6457711529 5499103.987124519),1184.694946,991399.7243
POINT (642312.3551223858 5499097.988459718),1186.980591,991413.4007
POINT (642300.0644472864 5499091.989823296),1188.688477,991427.0771
POINT (642287.773745855 5499085.991215249),1189.35376,991440.7535
POINT (642275.4830180932 5499079.992635581),1189.48877,991454.43
POINT (642263.0101647979 5499075.149084777),1190.472046,991467.9095
POINT (642250.1718616474 5499072.623401705),1190.240723,991480.9939
POINT (642237.33354786 5499070.09774922),1191.02417,991494.0783
POINT (642224.4952234323 5499067.572127316),1192.580078,991507.1627
POINT (642211.656888366 5499065.046535994),1193.718262,991520.2471
POINT (642198.8185426611 5499062.520975255),1197.262207,991533.3315
POINT (642185.9801863196 5499059.995445102),1199.770386,991546.4159
POINT (642173.1418193359 5499057.469945529),1199.470825,991559.5003
POINT (642160.3034417175 5499054.944476539),1199.261353,991572.5847
POINT (642147.4650534587 5499052.419038134),1199.220947,991585.6692
POINT (642134.929590156 5499048.569592645),1198.859741,991599.074
POINT (642123.7387050819 5499038.843315694),1197.270508,991613.9008
POINT (642112.5477797738 5499029.117062691),1197.593018,991628.7277
POINT (642101.3568142336 5499019.390833636),1194.506714,991643.5546
POINT (642090.1658084558 5499009.664628531),1191.903442,991658.3816
POINT (642078.9747624479 5498999.938447371),1191.999023,991673.2085
POINT (642067.7836762046 5498990.21229016),1195.108765,991688.0355
POINT (642056.5925497278 5498980.486156898),1194.671631,991702.8624
POINT (642045.4013830173 5498970.760047583),1194.271362,991717.6894
POINT (642034.4614748906 5498960.410804559),1192.990601,991732.7573
POINT (642023.683347543 5498949.660303064),1190.500366,991747.9804
POINT (642012.9051770264 5498938.909823924),1189.959595,991763.2034
POINT (642002.1269633444 5498928.159367139),1189.750977,991778.4265
POINT (641991.3487064935 5498917.408932711),1187.790283,991793.6496
POINT (641980.5704064775 5498906.658520638),1186.772461,991808.8727
POINT (641969.7920632946 5498895.908130923),1184.989014,991824.0959
POINT (641959.0136769431 5498885.157763561),1185.01062,991839.319
POINT (641948.2352474268 5498874.407418558),1184.220093,991854.5422
POINT (641937.456774744 5498863.657095909),1182.780884,991869.7653
POINT (641926.2903235103 5498853.941572334),1180.810669,991884.6072
POINT (641914.6914241284 5498845.379481516),1179.900024,991899.024
POINT (641903.0924883762 5498836.81741626),1178.351563,991913.4408
POINT (641891.493516258 5498828.255376564),1177.709595,991927.8576
POINT (641879.8945077698 5498819.693362432),1177.317993,991942.2744
POINT (641868.2954629157 5498811.131373859),1178.528809,991956.6913
POINT (641856.6963816935 5498802.569410848),1178.241577,991971.1081
POINT (641845.0972641036 5498794.007473399),1178.210938,991985.525
POINT (641833.498110146 5498785.44556151),1178.979614,991999.9419
POINT (641821.898919819 5498776.883675183),1179.340942,992014.3588
POINT (641810.9149756621 5498766.681576691),1179.588989,992029.3804
POINT (641800.1401084207 5498755.92202491),1179.400879,992044.6075
POINT (641789.3651979892 5498745.162495472),1177.97937,992059.8347
POINT (641778.5902443677 5498734.402988374),1179.579102,992075.0619
POINT (641767.8152475564 5498723.643503617),1178.741943,992090.289
POINT (641757.0402075552 5498712.8840412),1176.82251,992105.5162
POINT (641746.2651243644 5498702.124601126),1173.253174,992120.7435
POINT (641735.489997984 5498691.365183392),1170.140991,992135.9707
POINT (641724.7148284141 5498680.605787999),1171.338745,992151.1979
POINT (641713.9396156569 5498669.846414949),1176.757446,992166.4252
POINT (641703.1643597085 5498659.087064236),1181.609131,992181.6525
POINT (641692.3890605711 5498648.327735869),1181.639282,992196.8798
POINT (641681.6137182446 5498637.568429841),1178.551025,992212.107
POINT (641670.8383327292 5498626.809146154),1181.078369,992227.3343
POINT (641660.0629040251 5498616.04988481),1182.06897,992242.5617
POINT (641649.2874321323 5498605.290645806),1183.049805,992257.789
POINT (641638.5119170509 5498594.531429143),1181.390381,992273.0164
POINT (641627.7363587812 5498583.772234824),1179.601318,992288.2437
POINT (641616.9607573248 5498573.013062845),1178.290894,992303.4711
POINT (641606.1851126784 5498562.253913207),1175.491333,992318.6985
POINT (641595.4094248441 5498551.494785911),1173.238647,992333.9259
POINT (641584.6336938216 5498540.735680957),1174.041382,992349.1534
POINT (641573.8579196113 5498529.976598345),1174.302246,992364.3808
POINT (641563.0821022132 5498519.217538076),1178.986938,992379.6083
POINT (641552.3062416273 5498508.458500147),1179.407715,992394.8358
POINT (641541.5303378541 5498497.69948456),1175.812256,992410.0633
POINT (641530.7543908951 5498486.940491313),1182.357544,992425.2908
POINT (641519.9784007471 5498476.18152041),1183.149414,992440.5183
POINT (641509.2023674117 5498465.422571851),1183.351563,992455.7458
POINT (641498.4262908892 5498454.663645631),1183.209595,992470.9734
POINT (641487.6501711798 5498443.904741753),1182.09021,992486.2009
POINT (641476.8740082834 5498433.145860219),1184.201904,992501.4285
POINT (641466.0978022004 5498422.387001027),1181.290894,992516.6561
POINT (641455.3215529304 5498411.628164176),1180.370972,992531.8837
POINT (641444.5452604742 5498400.86934967),1180.649292,992547.1113
POINT (641433.7689248333 5498390.110557503),1179.949585,992562.339
POINT (641422.9925460041 5498379.35178768),1178.760864,992577.5666
POINT (641412.2161239887 5498368.593040199),1178.879639,992592.7943
POINT (641401.4396587873 5498357.83431506),1178.749756,992608.022
POINT (641390.6631503998 5498347.075612264),1178.77063,992623.2497
POINT (641379.8865988265 5498336.31693181),1178.848999,992638.4774
POINT (641369.1100040674 5498325.558273699),1179.040771,992653.7051
POINT (641358.3333661226 5498314.79963793),1178.5802,992668.9329
POINT (641347.5566849923 5498304.041024503),1178.551392,992684.1607
POINT (641336.7799606782 5498293.282433421),1179.539795,992699.3884
POINT (641326.0031931772 5498282.52386468),1181.32019,992714.6162
POINT (641315.2263824908 5498271.765318282),1182.518555,992729.844
POINT (641304.4495286194 5498261.006794227),1185.848999,992745.0718
POINT (641293.6726315628 5498250.248292515),1187.220337,992760.2997
POINT (641282.8956913216 5498239.489813144),1189.847168,992775.5275
POINT (641272.1187078954 5498228.731356119),1193.117188,992790.7554
POINT (641261.3416812846 5498217.972921436),1193.78125,992805.9832
POINT (641250.5646114892 5498207.214509093),1193.030396,992821.2111
POINT (641239.7874985113 5498196.456119098),1192.995361,992836.439
POINT (641229.0103423472 5498185.697751443),1195.077637,992851.667
POINT (641218.2331429988 5498174.939406131),1184.17627,992866.8949
POINT (641207.4559004662 5498164.181083163),1159.221802,992882.1228
POINT (641196.6786147498 5498153.422782538),1146.366211,992897.3508
POINT (641185.9012858494 5498142.664504257),1133.326782,992912.5788
POINT (641175.1239137652 5498131.906248318),1122.424683,992927.8068
POINT (641164.3464984974 5498121.148014724),1111.415039,992943.0348
POINT (641153.5690400461 5498110.389803473),1101.500854,992958.2628
POINT (641142.7915384129 5498099.631614563),1104.735962,992973.4908
POINT (641132.0139935948 5498088.873448),1113.087769,992988.7189
POINT (641121.2364055933 5498078.115303778),1129.944458,993003.947
POINT (641110.4587744089 5498067.3571819),1142.7146,993019.175
POINT (641099.6811000414 5498056.599082368),1154.87439,993034.4031
POINT (641088.903382491 5498045.841005177),1167.922852,993049.6312
POINT (641078.1256217577 5498035.082950329),1181.651245,993064.8594
POINT (641067.3478178418 5498024.324917829),1196.168091,993080.0875
POINT (641056.5699707452 5498013.566907668),1198.868652,993095.3156
POINT (641045.7920804643 5498002.808919853),1199.3302,993110.5438
POINT (641035.0141470011 5497992.050954381),1199.269043,993125.772
POINT (641024.2361703557 5497981.293011254),1199.4198,993141.0002
POINT (641013.4581505281 5497970.535090471),1199.309692,993156.2284
POINT (641002.6800875185 5497959.777192031),1200.82251,993171.4566
POINT (640991.9019813271 5497949.019315937),1200.65979,993186.6849
POINT (640981.1238319539 5497938.261462183),1200.778687,993201.9132
POINT (640970.3456393989 5497927.503630776),1202.566162,993217.1414
POINT (640959.5674036643 5497916.745821713),1204.46814,993232.3697
POINT (640948.7891247463 5497905.988034993),1207.116821,993247.5981
POINT (640938.0108026471 5497895.230270619),1208.813354,993262.8264
POINT (640927.2324373666 5497884.472528589),1209.001343,993278.0547
POINT (640916.4540289049 5497873.714808903),1207.62085,993293.2831
POINT (640905.6755772623 5497862.95711156),1210.918823,993308.5114
POINT (640894.8970824388 5497852.199436563),1213.727295,993323.7398
POINT (640884.1185444344 5497841.44178391),1216.289795,993338.9682
POINT (640873.3399632495 5497830.684153602),1218.810303,993354.1966
POINT (640862.5613388857 5497819.926545638),1221.328125,993369.425
POINT (640851.7826713398 5497809.168960017),1222.360229,993384.6535
POINT (640841.0039606134 5497798.411396743),1223.96875,993399.8819
POINT (640830.2252067069 5497787.653855815),1225.229736,993415.1104
POINT (640819.4464096202 5497776.896337227),1226.779297,993430.3389
POINT (640808.6675693535 5497766.138840986),1227.92981,993445.5674
POINT (640797.8886859068 5497755.38136709),1228.381958,993460.7959
POINT (640787.1097592805 5497744.623915539),1229.853149,993476.0244
POINT (640776.3307894744 5497733.866486333),1231.651733,993491.2529
POINT (640765.5517764888 5497723.109079472),1234.133667,993506.4815
POINT (640754.7727203236 5497712.351694955),1234.943481,993521.7101
POINT (640743.9936209794 5497701.594332784),1234.858765,993536.9387
POINT (640733.2144784557 5497690.836992959),1234.441895,993552.1672
POINT (640722.4352927529 5497680.079675478),1234.997925,993567.3959
POINT (640711.656063873 5497669.322380342),1233.047729,993582.6245
POINT (640700.8767918122 5497658.56510755),1232.134766,993597.8531
POINT (640690.0974765727 5497647.807857105),1229.879272,993613.0818
POINT (640679.3181181547 5497637.050629003),1230.458374,993628.3105
POINT (640668.5387165579 5497626.293423249),1229.892822,993643.5391
POINT (640657.7592717828 5497615.536239837),1228.776367,993658.7678
POINT (640646.9797838293 5497604.779078774),1227.741577,993673.9966
POINT (640636.2002526975 5497594.021940055),1227.407593,993689.2253
POINT (640625.4206783876 5497583.264823681),1227.437622,993704.454
POINT (640614.6410609016 5497572.507729653),1227.157227,993719.6828
POINT (640603.8614002359 5497561.750657971),1227.433228,993734.9116
POINT (640593.0816963923 5497550.993608635),1227.357422,993750.1404
POINT (640582.301949371 5497540.236581643),1227.658447,993765.3692
POINT (640571.5221591722 5497529.479576997),1227.342041,993780.598
POINT (640560.7423257959 5497518.722594697),1227.330444,993795.8268
POINT (640549.9624492424 5497507.965634743),1227.365112,993811.0557
POINT (640539.1825295114 5497497.208697135),1226.629761,993826.2846
POINT (640528.4025666054 5497486.451781872),1226.240845,993841.5134
POINT (640517.6225605203 5497475.694888956),1225.01062,993856.7423
POINT (640506.2432191456 5497466.605029018),1224.261353,993871.375
POINT (640494.4331130703 5497458.713324131),1223.718384,993885.5792
POINT (640482.6229730678 5497450.82164564),1224.07019,993899.7833
POINT (640470.81279914 5497442.929993543),1223.731445,993913.9875
POINT (640459.0025912889 5497435.038367846),1222.101196,993928.1917
POINT (640447.1923495106 5497427.146768543),1222.309204,993942.3959
POINT (640435.3820738093 5497419.255195635),1222.510376,993956.6001
