geometry,y,x
POINT Z (-121.009783107 49.65653660300006 2.229007804999128e-07),1102.276855,987100
POINT Z (-121.0095249477579 49.65610840467481 2.229007804999128e-07),1115.641113,987151.1358
POINT Z (-121.0091419000455 49.655800623612 2.229007804999128e-07),1116.72522,987195.896
POINT Z (-121.0086907204062 49.65558513130793 2.229007804999128e-07),1114.660645,987236.3349
POINT Z (-121.008239540767 49.65536963900384 2.229007804999128e-07),1116.321411,987276.7739
POINT Z (-121.0077883611277 49.65515414669976 2.229007804999128e-07),1117.32959,987317.213
POINT Z (-121.0073371814885 49.6549386543957 2.229007804999128e-07),1117.075684,987357.652
POINT Z (-121.0068939451601 49.65470886519529 2.229007804999128e-07),1116.282104,987398.4704
POINT Z (-121.0065483962167 49.65435000677871 2.229007804999128e-07),1115.946655,987445.204
POINT Z (-121.0062244549096 49.6539691366833 2.229007804999128e-07),1117.187866,987493.5873
POINT Z (-121.0059005136025 49.65358826658791 2.229007804999128e-07),1117.084106,987541.9705
POINT Z (-121.0056125881632 49.65318479079876 2.229007804999128e-07),1119.587524,987590.7095
POINT Z (-121.0054581483347 49.65270924023432 2.229007804999128e-07),1127.045776,987644.7562
POINT Z (-121.0053037085061 49.65223368966986 2.229007804999128e-07),1129.410522,987698.8029
POINT Z (-121.0051492686775 49.65175813910541 2.229007804999128e-07),1131.597656,987752.8497
POINT Z (-121.005004918609 49.65127954600034 2.229007804999128e-07),1129.858643,987806.9399
POINT Z (-121.0048781735592 49.65079587700987 2.229007804999128e-07),1131.630737,987861.4994
POINT Z (-121.0047514285094 49.65031220801941 2.229007804999128e-07),1130.279419,987916.0589
POINT Z (-121.0046246834595 49.64982853902894 2.229007804999128e-07),1133.667603,987970.6184
POINT Z (-121.0044979384096 49.64934487003847 2.229007804999128e-07),1135.298706,988025.178
POINT Z (-121.0043542624945 49.64886626565453 2.229007804999128e-07),1123.617676,988079.5353
POINT Z (-121.0041995695881 49.64839079735411 2.229007804999128e-07),1121.780029,988133.5766
POINT Z (-121.0040448766816 49.64791532905369 2.229007804999128e-07),1123.661011,988187.6179
POINT Z (-121.0038901837752 49.64743986075327 2.229007804999128e-07),1124.719727,988241.6592
POINT Z (-121.0037354908688 49.64696439245284 2.229007804999128e-07),1123.029785,988295.7006
POINT Z (-121.0035807979624 49.64648892415241 2.229007804999128e-07),1125.619385,988349.7418
POINT Z (-121.003426105056 49.646013455852 2.229007804999128e-07),1123.109375,988403.7831
POINT Z (-121.0032714121496 49.64553798755159 2.229007804999128e-07),1123.409058,988457.8244
POINT Z (-121.0031167192432 49.64506251925117 2.229007804999128e-07),1126.728149,988511.8657
POINT Z (-121.0029620263368 49.64458705095074 2.229007804999128e-07),1125.259399,988565.907
POINT Z (-121.0029102010026 49.64414753861282 2.229007804999128e-07),1124.847412,988617.9578
POINT Z (-121.0033274085397 49.64387197034362 2.229007804999128e-07),1140.147583,988660.9323
POINT Z (-121.0037446160767 49.64359640207442 2.229007804999128e-07),1142.937988,988703.907
POINT Z (-121.0041618236139 49.64332083380522 2.229007804999128e-07),1153.298828,988746.8815
POINT Z (-121.004579031151 49.64304526553603 2.229007804999128e-07),1154.59082,988789.8562
POINT Z (-121.0049939725318 49.64276712595105 2.229007804999128e-07),1156.108765,988832.9629
POINT Z (-121.0052253068507 49.64233862403868 2.229007804999128e-07),1160.648682,988884.1968
POINT Z (-121.0052043592209 49.6418390630346 2.229007804999128e-07),1165.268188,988939.7715
POINT Z (-121.0052087238452 49.64134097835172 2.229007804999128e-07),1159.530396,988995.2516
POINT Z (-121.0054539761643 49.64091505049946 2.229007804999128e-07),1161.279419,989046.3034
POINT Z (-121.0057736195543 49.64053056629535 2.229007804999128e-07),1166.680542,989094.8939
POINT Z (-121.0059082853545 49.64019727675925 2.229007804999128e-07),1167.54834,989141.1787
POINT Z (-121.0058009269189 49.63993096822512 2.229007804999128e-07),1163.998169,989184.4468
POINT Z (-121.0061379697645 49.63956192701983 2.229007804999128e-07),1156.682861,989232.1774
POINT Z (-121.0064817850921 49.63919889668984 2.229007804999128e-07),1147.239136,989279.5733
POINT Z (-121.0068241129386 49.63883446634728 2.229007804999128e-07),1143.839722,989327.0462
POINT Z (-121.0071656668964 49.63846930762298 2.229007804999128e-07),1140.339355,989374.5592
POINT Z (-121.0075072208542 49.63810414889867 2.229007804999128e-07),1138.490356,989422.0722
POINT Z (-121.0078487748119 49.63773899017436 2.229007804999128e-07),1134.528687,989469.5853
POINT Z (-121.0081903287697 49.63737383145006 2.229007804999128e-07),1139.296509,989517.0984
POINT Z (-121.0085639697071 49.63704351139005 2.229007804999128e-07),1137.57019,989562.7855
POINT Z (-121.0089559348801 49.63673308699813 2.229007804999128e-07),1135.640381,989607.4297
POINT Z (-121.0093479000532 49.63642266260621 2.229007804999128e-07),1133.02002,989652.074
POINT Z (-121.0097491793131 49.63612558573285 2.229007804999128e-07),1132.97937,989696.0915
POINT Z (-121.0101757836037 49.63586480080387 2.229007804999128e-07),1132.160278,989738.4048
POINT Z (-121.0106023878944 49.63560401587489 2.229007804999128e-07),1134.809082,989780.7183
POINT Z (-121.0110289921851 49.6353432309459 2.229007804999128e-07),1146.298828,989823.0317
POINT Z (-121.0114555964757 49.63508244601694 2.229007804999128e-07),1152.039063,989865.3451
POINT Z (-121.0118822007664 49.63482166108793 2.229007804999128e-07),1155.202148,989907.6585
POINT Z (-121.0123088050571 49.63456087615899 2.229007804999128e-07),1155.618774,989949.9719
POINT Z (-121.0127354093477 49.63430009122999 2.229007804999128e-07),1160.584839,989992.2854
POINT Z (-121.0131833555983 49.63408118770629 2.229007804999128e-07),1160.912231,990032.9444
POINT Z (-121.0136450698874 49.63388930254478 2.229007804999128e-07),1161.830933,990072.5359
POINT Z (-121.0141067841766 49.63369741738325 2.229007804999128e-07),1161.29126,990112.1275
POINT Z (-121.0145684984657 49.63350553222175 2.229007804999128e-07),1161.275391,990151.719
POINT Z (-121.0150302127549 49.63331364706024 2.229007804999128e-07),1162.779175,990191.3106
POINT Z (-121.015491927044 49.63312176189873 2.229007804999128e-07),1164.388062,990230.9022
POINT Z (-121.0159536413331 49.63292987673722 2.229007804999128e-07),1165.302246,990270.4939
POINT Z (-121.0164153344479 49.63273794063439 2.229007804999128e-07),1164.009766,990310.0875
POINT Z (-121.0168928933263 49.63260351986308 2.229007804999128e-07),1173.25061,990348.2579
POINT Z (-121.0173545999026 49.63241161614382 2.229007804999128e-07),1168.63916,990387.8507
