X,Y,Z,Distance (meters)
596186.2017,5454456.495,62.02809143,5.688806424
596186.25,5454456.488,62.03062057,5.737847859
596186.2983,5454456.481,62.03223038,5.786889293
596186.3465,5454456.474,62.03451157,5.835930728
596186.3948,5454456.467,62.03590775,5.884972163
596186.4431,5454456.46,62.03846359,5.934013598
596186.4914,5454456.453,62.04022217,5.983055032
596186.5397,5454456.446,62.04225922,6.032096467
596186.5879,5454456.439,62.04423904,6.081137902
596186.6362,5454456.432,62.04601669,6.130179336
596186.6845,5454456.425,62.04795456,6.179220771
596186.7328,5454456.418,62.04997635,6.228262206
596186.7811,5454456.411,62.05237198,6.27730364
596186.8293,5454456.404,62.05444336,6.326345075
596186.8776,5454456.397,62.05607224,6.37538651
596186.9259,5454456.39,62.05809021,6.424427944
596186.9742,5454456.383,62.05932617,6.473469379
596187.0225,5454456.376,62.06054688,6.522510814
596187.0707,5454456.37,62.06148529,6.571552248
596187.119,5454456.363,62.06244659,6.620593683
596187.1673,5454456.356,62.06244659,6.669635118
596187.2156,5454456.349,62.06410599,6.718676553
596187.2639,5454456.342,62.06510925,6.767717987
596187.3121,5454456.335,62.06624603,6.816759422
596187.3604,5454456.328,62.06764984,6.865800857
596187.4087,5454456.321,62.0690918,6.914842291
596187.457,5454456.314,62.07151794,6.963883726
596187.5053,5454456.307,62.07426453,7.012925161
596187.5535,5454456.3,62.07937622,7.061966595
596187.6018,5454456.293,62.08219147,7.11100803
596187.6501,5454456.286,62.08463669,7.160049465
596187.6984,5454456.279,62.08689499,7.209090899
596187.7467,5454456.272,62.0887146,7.258132334
596187.7949,5454456.265,62.09085464,7.307173769
596187.8432,5454456.258,62.09263229,7.356215204
596187.8915,5454456.251,62.0971756,7.405256638
596187.9398,5454456.244,62.09990311,7.454298073
596187.9881,5454456.237,62.10279465,7.503339508
596188.0363,5454456.23,62.10509872,7.552380942
596188.0846,5454456.223,62.10704041,7.601422377
596188.1329,5454456.216,62.1088829,7.650463812
596188.1812,5454456.209,62.11048126,7.699505246
596188.2295,5454456.202,62.11580658,7.748546681
596188.2777,5454456.195,62.11749268,7.797588116
596188.326,5454456.188,62.11910248,7.84662955
596188.3743,5454456.181,62.12042618,7.895670985
596188.4226,5454456.174,62.12120438,7.94471242
